# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0.0010139 0.0002
36 0.8875 0.0246578 0.00535
37 0.9125 0.165315 0.04185
38 0.9375 0.519731 0.162975
39 0.9625 1.10158 0.433575
40 0.9875 1.70909 0.8755
41 1.0125 2.21204 1.4768
42 1.0375 2.45498 2.1775
43 1.0625 2.45916 2.91362
44 1.0875 2.37403 3.6581
45 1.1125 2.21208 4.38405
46 1.1375 1.99926 5.06997
47 1.1625 1.79197 5.7121
48 1.1875 1.62966 6.32145
49 1.2125 1.44137 6.88333
50 1.2375 1.29869 7.41068
51 1.2625 1.16632 7.9036
52 1.2875 1.06413 8.37133
53 1.3125 0.976091 8.81718
54 1.3375 0.908215 9.24798
55 1.3625 0.843196 9.66303
56 1.3875 0.800548 10.0717
57 1.4125 0.769673 10.4788
58 1.4375 0.738527 10.8835
59 1.4625 0.713406 11.2881
60 1.4875 0.702071 11.7
61 1.5125 0.681816 12.1136
62 1.5375 0.67143 12.5344
63 1.5625 0.687964 12.9798
64 1.5875 0.696247 13.445
65 1.6125 0.702457 13.9293
66 1.6375 0.720273 14.4414
67 1.6625 0.749193 14.9905
68 1.6875 0.772355 15.5737
69 1.7125 0.804496 16.1992
70 1.7375 0.836511 16.8688
71 1.7625 0.878813 17.5927
72 1.7875 0.913155 18.3663
73 1.8125 0.9524 19.1959
74 1.8375 1.00306 20.0939
75 1.8625 1.04568 21.0557
76 1.8875 1.0788 22.0748
77 1.9125 1.11076 23.152
78 1.9375 1.1408 24.2875
79 1.9625 1.17173 25.4841
80 1.9875 1.19147 26.732
81 2.0125 1.20211 28.023
82 2.0375 1.22108 29.3671
83 2.0625 1.20363 30.7247
84 2.0875 1.19713 32.1079
85 2.1125 1.16945 33.4916
86 2.1375 1.14954 34.8843
87 2.1625 1.13093 36.2865
88 2.1875 1.10777 37.6921
89 2.2125 1.07751 39.0906
90 2.2375 1.04872 40.4828
91 2.2625 1.02387 41.8724
92 2.2875 0.995271 43.2533
93 2.3125 0.970148 44.6289
94 2.3375 0.960534 46.0205
95 2.3625 0.934045 47.4028
96 2.3875 0.921749 48.7959
97 2.4125 0.913453 50.2055
98 2.4375 0.903032 51.6282
99 2.4625 0.896311 53.0693
100 2.4875 0.896016 54.5393
2000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0.00139411 0.000275
36 0.8875 0.0256154 0.005625
37 0.9125 0.154445 0.039725
38 0.9375 0.50879 0.1583
39 0.9625 1.10931 0.4308
40 0.9875 1.73742 0.88005
41 1.0125 2.19401 1.47645
42 1.0375 2.46059 2.17875
43 1.0625 2.49198 2.9247
44 1.0875 2.34804 3.66103
45 1.1125 2.19578 4.38163
46 1.1375 2.01966 5.07455
47 1.1625 1.79434 5.71753
48 1.1875 1.59924 6.3155
49 1.2125 1.44881 6.88028
50 1.2375 1.28706 7.4029
51 1.2625 1.15118 7.88943
52 1.2875 1.06334 8.3568
53 1.3125 0.983863 8.8062
54 1.3375 0.913486 9.2395
55 1.3625 0.852694 9.65922
56 1.3875 0.804906 10.0701
57 1.4125 0.766743 10.4757
58 1.4375 0.733143 10.8774
59 1.4625 0.708469 11.2792
60 1.4875 0.688904 11.6834
61 1.5125 0.690759 12.1024
62 1.5375 0.682239 12.53
63 1.5625 0.697734 12.9817
64 1.5875 0.686744 13.4406
65 1.6125 0.701768 13.9244
66 1.6375 0.725758 14.4404
67 1.6625 0.754344 14.9932
68 1.6875 0.77901 15.5814
69 1.7125 0.809801 16.2111
70 1.7375 0.847567 16.8896
71 1.7625 0.87253 17.6083
72 1.7875 0.915959 18.3843
73 1.8125 0.958829 19.2195
74 1.8375 1.00122 20.1158
75 1.8625 1.03503 21.0678
76 1.8875 1.08274 22.0906
77 1.9125 1.10483 23.1621
78 1.9375 1.1409 24.2977
79 1.9625 1.16936 25.4919
80 1.9875 1.19151 26.7399
81 2.0125 1.20626 28.0353
82 2.0375 1.20289 29.3593
83 2.0625 1.19718 30.7096
84 2.0875 1.19371 32.0889
85 2.1125 1.17724 33.4819
86 2.1375 1.15593 34.8822
87 2.1625 1.13093 36.2845
88 2.1875 1.10324 37.6843
89 2.2125 1.06805 39.0706
90 2.2375 1.05477 40.4707
91 2.2625 1.01869 41.8534
92 2.2875 0.98327 43.2176
93 2.3125 0.970201 44.5933
94 2.3375 0.952527 45.9733
95 2.3625 0.938556 47.3623
96 2.3875 0.927026 48.7634
97 2.4125 0.919447 50.1823
98 2.4375 0.90008 51.6002
99 2.4625 0.905858 53.0567
100 2.4875 0.89917 54.5319
3000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0.00164759 0.000325
36 0.8875 0.0244185 0.005425
37 0.9125 0.159088 0.04055
38 0.9375 0.532389 0.164625
39 0.9625 1.10209 0.43535
40 0.9875 1.73152 0.883075
